Design files available,Data sheet,Open source design or open standard,Description,Vendor,Vendor Part Number,Self-source vendor suggestion,b,r,a,thelio,thelio-mira,thelio-major,thelio-mega,thelio-massive,thelio-spark,thelio-astra
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
SYSTEM76,https://shop.ryerson.com/catalog/details/101116?qry=&did=88152aef-354b-4dd7-a1c4-a9671c8e1043,Y,Aluminum sheet metal,Ryerson,5052SH063X60X120,Xometry,,,,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files
SYSTEM76,,Y,Custom aluminum extrusions (requires dies),Richardson Metals,"E1 V2, E2 V2, E3 V2, E4 V4",3D Print,,,,325.4mm L,,459.75mm L,,TBD,,
SYSTEM76,,Y,Walnut veneer with 3M PSA backing,Lenderink Technologies,,Lenderink Technologies,,,,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files
SYSTEM76,,Y,Maple veneer  with 3M PSA backing,Lenderink Technologies,,Lenderink Technologies,,,,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files
N/A,Y,N,"1/4"" 3M VHB","Thomas G. Goldkamp, Inc.",5952,Amazon,,,,325.4mm L,,459.75mm L,,TBD,,
N/A,Y,N,"1/2"" 3M VHB","Thomas G. Goldkamp, Inc.",GPH-110,Special order. May not be necessary. Depends on the build process.,,,,TBD,TBD,TBD,TBD,TBD,,
N/A,Y,N,Prismatic sterling black powder,"NIC Industries, Inc.",UMB-1204,"NIC Industries, Inc.",,,,lbs. TBD,lbs. TBD,lbs. TBD,lbs. TBD,lbs. TBD,lbs. TBD,lbs. TBD
Y,,Y,M4 x 10MM standoff,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,,10,10,10,10,10,10,10
?,,Y,M4 x 25MM screw,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,,4,4,0,0,0,0,0
Y,,Y,M4 x.7 x 5 mm screw,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,,14,14,18,18,20,,
Y,,Y,M3 x 10mm thumb screw,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,,10,10,13,13,13,,
Y,,Y,M3 HD screws,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,,16,16,32,32,48,,
Y,,?,HD screw gromets,"Dongguan Yuankang Silicone Products Co.,Ltd",,McMaster-Carr,,,,16,16,32,32,48,,
Y,,Y,10mm self tapping fan screw,"Dongguan Jinglong Metal Products Co.,Ltd",,Amazon,,,,4,4,12,12,16,,
Y,,?,15mm rubber case feet with m4 thread insert,"Dongguan Hanxiang Rubber Products Co., Ltd. ",,McMaster-Carr,,,,4,4,0,0,0,4,4
Y,,?,20mm rubber case feet with m4 thread insert,"Dongguan Hanxiang Rubber Products Co., Ltd. ",,McMaster-Carr,,,,0,0,4,4,4,0,0
Y,,Y,M4 x.7 x 5 mm feet screws,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,,4,4,4,4,4,4,4
Determine and buy,,Y,M3 x 8mm drive cage screws,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,,4,4,8,8,12,,
System76,,Y,Power button electrical external connection PCB,"Maoye Electrical Co.,LTD",,,,,,1,1,1,1,1,,
System76,,Y,Power button electrical internal connection PCB,"Maoye Electrical Co.,LTD",,,,,,1,1,1,1,1,,
Y,,Y,Steel m3 rivet nuts,"Shanghai Zhengjiang Fastener CO.,LTD ",,McMaster-Carr,,,,14,14,20,20,20,,
Y,,?,Power button w/ 19mm clearance hole,"Shenzhen Hongju Electronics Co.,Ltd",,Sparkfun?,,,,1,1,1,1,1,,
System76,,Y,Power button upper mount,"Guangzhou Engineering Plastics Industries (Group) Co., Ltd  ",,3D Print,,,,1,1,1,1,1,,
System76,,Y,Power buttons lower mount,"Guangzhou Engineering Plastics Industries (Group) Co., Ltd  ",,3D Print,,,,1,1,1,1,1,,
N/A,https://www.mcmaster.com/94180a353,Y,Power button mount heated threaded inserts,,,,,,,,,,,,,
System76,,Y,Thelio Io," WANFENG CIRCUIT CO., LTD",,Oshpark and Mouser,,,,1,1,2,2,2,,
System76,,Y,Thelio Io SAS," WANFENG CIRCUIT CO., LTD",,Oshpark and Mouser,,,,0,0,0,0,1,,
System76,,Y,2.15 dbi antennas,Dongguan Haonuo Electronic Co. Ltd,,Amazon,,,,2,2,2,2,0,,
N,https://www.gigabyte.com/Motherboard/B450-AORUS-PRO-WIFI-rev-10#kf,N,Gigabyte B450 I AORUS PRO WIFI,Gigabyte,B450 I AORUS PRO WIFI,Amazon,,1,,1,0,0,0,0,0,0
N,https://www.gigabyte.com/us/Motherboard/H370N-WIFI-rev-10#kf,N,Gigabyte H370N WiFi,Gigabyte,H370N WiFi,Amazon,1,,,1,0,0,0,0,0,0
N,https://www.gigabyte.com/Motherboard/X570-I-AORUS-PRO-WIFI-rev-10#kf,N,Gigabyte X570I AORUS PRO WIFI,Gigabyte,X570I AORUS PRO WIFI,Amazon,,2,,1,,,,,,
N,https://www.gigabyte.com/us/Motherboard/Z490I-AORUS-ULTRA-rev-1x#kf,N,Gigabyte Z490I AORUS ULTRA,Gigabyte,Z490I AORUS ULTRA,Amazon,2,,,1,0,0,0,0,0,0
N,https://www.msi.com/Motherboard/MPG-B650I-EDGE-WIFI,N,MSI MPG B650I EDGE WIFI,MSI,MPG B650I EDGE WIFI,Amazon,,3,,1,0,0,0,0,0,0
N,https://www.gigabyte.com/Motherboard/B660I-AORUS-PRO-DDR4-rev-1x#kf,N,Gigabyte B660I AORUS PRO DDR4,Gigabyte,B660I AORUS PRO DDR4,Amazon,3,,,1,0,0,0,0,0,0
N,https://rog.asus.com/us/motherboards/rog-strix/rog-strix-b650e-i-gaming-wifi-model/,N,ASUS ROG STRIX B650E-I GAMING WIFI,ASUS,ROG STRIX B650E-I GAMING WIFI,Amazon,,4,,1,0,0,0,0,0,0
N,https://www.msi.com/Motherboard/MEG-Z690I-UNIFY,N,MSI MEG Z690I UNIFY,MSI,MEG Z690I UNIFY,Amazon,4,,,1,0,0,0,0,0,0
N,https://pg.asrock.com/mb/AMD/B850I%20Lightning%20WiFi/index.asp,N,ASRock B850I LIGHTNING WIFI,ASRock,B850I LIGHTNING WIFI,Amazon,,5,,1,0,0,0,0,0,0 
N,https://www.msi.com/Motherboard/MPG-Z790I-EDGE-WIFI,N,MSI MPG Z790I EDGE WIFI,MSI,MPG Z790I EDGE WIFI,Amazon,5,,,1,0,0,0,0,0,0
N,https://rog.asus.com/us/motherboards/rog-strix/rog-strix-x570-e-gaming-model/,N,ASUS ROG STRIX X570-E GAMING,ASUS,ROG STRIX X570-E GAMING,Amazon,,1,,0,1,0,0,0,0,0
N,https://rog.asus.com/us/motherboards/rog-strix/rog-strix-z590-a-gaming-wifi-model/,N,ASUS ROG STRIX Z590-A GAMING WIFI,ASUS,ROG STRIX Z590-A GAMING WIFI,Amazon,1,,,0,1,0,0,0,0,0
